run_id0,test_name1,test_group_name2,status6,run_date3,start_time4,end_time5
run_0001_20241201,test_api_upload_image_0000,,pass,2024-12-01,09:21:00,09:24:38
run_0001_20241201,test_unit_backup_restore_0001,unit,pass,2024-12-01,09:21:02,09:24:21
run_0001_20241201,test_security_form_validation_0002,security,skip,2024-12-01,09:21:04,09:25:59
run_0001_20241201,test_auth_cron_job_execution_0003,auth,pass,2024-12-01,09:21:06,09:24:55
run_0001_20241201,test_integration_sql_injection_block_0004,integration,skip,2024-12-01,09:21:08,09:21:22
run_0001_20241201,test_integration_refund_process_0005,integration,pass,2024-12-01,09:21:10,09:22:31
run_0001_20241201,test_auth_download_file_0006,auth,pass,2024-12-01,09:21:12,09:23:57
run_0001_20241201,test_unit_map_integration_0007,unit,pass,2024-12-01,09:21:14,09:25:07
run_0001_20241201,test_smoke_subscription_renewal_0008,smoke,pass,2024-12-01,09:21:16,09:26:13
run_0001_20241201,test_database_accessibility_check_0009,database,pass,2024-12-01,09:21:18,09:21:44
run_0001_20241201,test_unit_dark_mode_toggle_0010,unit,pass,2024-12-01,09:21:20,09:21:51
run_0001_20241201,test_e2e_access_control_0011,e2e,pass,2024-12-01,09:21:22,09:22:11
run_0001_20241201,test_unit_foreign_key_constraint_0012,unit,pass,2024-12-01,09:21:24,09:25:58
run_0001_20241201,test_performance_sorting_results_0013,performance,pass,2024-12-01,09:21:26,09:24:29
run_0001_20241201,test_smoke_password_reset_flow_0014,smoke,pass,2024-12-01,09:21:28,09:23:30
run_0001_20241201,test_security_database_pool_management_0015,security,pass,2024-12-01,09:21:30,09:25:37
run_0001_20241201,test_auth_filtering_data_0016,auth,pass,2024-12-01,09:21:32,09:22:16
run_0001_20241201,test_security_upload_image_0017,security,pass,2024-12-01,09:21:34,09:25:36
run_0001_20241201,test_security_geolocation_service_0018,security,pass,2024-12-01,09:21:36,09:25:21
run_0001_20241201,test_auth_list_posts_0019,auth,pass,2024-12-01,09:21:38,09:26:36
run_0001_20241201,test_e2e_user_permissions_0020,e2e,pass,2024-12-01,09:21:40,09:23:32
run_0001_20241201,test_smoke_csrf_protection_0021,smoke,pass,2024-12-01,09:21:42,09:22:16
run_0001_20241201,test_smoke_webhook_trigger_0022,smoke,pass,2024-12-01,09:21:44,09:25:36
run_0001_20241201,test_api_list_posts_0023,api,pass,2024-12-01,09:21:46,09:26:36
run_0001_20241201,test_ui_delete_post_0024,ui,pass,2024-12-01,09:21:48,09:25:39
run_0001_20241201,test_performance_load_test_1000_users_0025,performance,pass,2024-12-01,09:21:50,09:25:17
run_0001_20241201,test_unit_index_performance_0026,unit,pass,2024-12-01,09:21:52,09:24:23
run_0001_20241201,test_auth_query_optimization_0027,auth,pass,2024-12-01,09:21:54,09:24:02
run_0001_20241201,test_unit_radio_button_select_0028,unit,pass,2024-12-01,09:21:56,09:26:03
run_0001_20241201,test_unit_sql_injection_block_0029,unit,pass,2024-12-01,09:21:58,09:23:50
run_0001_20241201,test_integration_cron_job_execution_0030,integration,pass,2024-12-01,09:22:00,09:24:27
run_0001_20241201,test_auth_csrf_protection_0031,auth,pass,2024-12-01,09:22:02,09:22:36
run_0001_20241201,test_e2e_database_connection_0032,e2e,skip,2024-12-01,09:22:04,09:23:10
run_0001_20241201,test_security_sms_alert_0033,security,pass,2024-12-01,09:22:06,09:26:15
run_0001_20241201,test_ui_cookie_handling_0034,ui,pass,2024-12-01,09:22:08,09:26:34
run_0001_20241201,test_auth_csrf_protection_0035,auth,pass,2024-12-01,09:22:10,09:25:21
run_0001_20241201,test_smoke_cpu_usage_monitor_0036,smoke,pass,2024-12-01,09:22:12,09:22:48
run_0001_20241201,test_auth_user_permissions_0037,auth,pass,2024-12-01,09:22:14,09:23:52
run_0001_20241201,test_api_concurrent_users_0038,api,pass,2024-12-01,09:22:16,09:25:10
run_0001_20241201,test_security_certificate_validation_0039,security,pass,2024-12-01,09:22:18,09:25:13
run_0001_20241201,test_security_checkbox_toggle_0040,security,pass,2024-12-01,09:22:20,09:27:03
run_0001_20241201,test_unit_video_streaming_0041,unit,fail,2024-12-01,09:22:22,09:23:04
run_0001_20241201,test_smoke_input_sanitization_0042,smoke,skip,2024-12-01,09:22:24,09:25:09
run_0001_20241201,test_security_database_pool_management_0043,security,pass,2024-12-01,09:22:26,09:23:02
run_0001_20241201,test_ui_xss_prevention_0044,ui,pass,2024-12-01,09:22:28,09:24:48
run_0001_20241201,test_e2e_responsive_layout_0045,e2e,pass,2024-12-01,09:22:30,09:26:21
run_0001_20241201,test_smoke_api_rate_limiting_0046,smoke,pass,2024-12-01,09:22:32,09:26:20
run_0001_20241201,test_e2e_button_click_event_0047,e2e,pass,2024-12-01,09:22:34,09:27:36
run_0001_20241201,test_auth_access_control_0048,auth,pass,2024-12-01,09:22:36,09:27:41
run_0001_20241201,test_auth_recommendation_engine_0049,auth,pass,2024-12-01,09:22:38,09:24:03
run_0001_20241201,test_ui_user_permissions_0050,ui,pass,2024-12-01,09:22:40,09:22:53
run_0001_20241201,test_ui_navigation_menu_0051,ui,skip,2024-12-01,09:22:42,09:24:28
run_0001_20241201,test_api_access_control_0052,api,pass,2024-12-01,09:22:44,09:25:13
run_0001_20241201,test_performance_pdf_generation_0053,performance,pass,2024-12-01,09:22:46,09:27:33
run_0001_20241201,test_database_map_integration_0054,database,pass,2024-12-01,09:22:48,09:25:57
run_0001_20241201,test_security_download_file_0055,security,pass,2024-12-01,09:22:50,09:27:04
run_0001_20241201,test_smoke_csrf_protection_0056,smoke,pass,2024-12-01,09:22:52,09:27:20
run_0001_20241201,test_unit_memory_leak_check_0057,unit,pass,2024-12-01,09:22:54,09:26:57
run_0001_20241201,test_performance_tls_connection_0058,performance,pass,2024-12-01,09:22:56,09:25:28
run_0001_20241201,test_database_navigation_menu_0059,database,pass,2024-12-01,09:22:58,09:27:04
run_0001_20241201,test_performance_recommendation_engine_0060,performance,pass,2024-12-01,09:23:00,09:23:58
run_0001_20241201,test_smoke_concurrent_users_0061,smoke,pass,2024-12-01,09:23:02,09:24:54
run_0001_20241201,test_performance_pdf_generation_0062,performance,pass,2024-12-01,09:23:04,09:27:52
run_0001_20241201,test_security_social_login_google_0063,security,pass,2024-12-01,09:23:06,09:23:49
run_0001_20241201,test_e2e_excel_import_0064,e2e,pass,2024-12-01,09:23:08,09:25:10
run_0001_20241201,test_auth_role_management_0065,auth,pass,2024-12-01,09:23:10,09:23:41
run_0001_20241201,test_e2e_xss_prevention_0066,e2e,pass,2024-12-01,09:23:12,09:27:04
run_0001_20241201,test_security_dropdown_selection_0067,security,pass,2024-12-01,09:23:14,09:25:13
run_0001_20241201,test_database_push_notification_0068,database,pass,2024-12-01,09:23:16,09:27:31
run_0001_20241201,test_integration_pdf_generation_0069,integration,pass,2024-12-01,09:23:18,09:26:51
run_0001_20241201,test_unit_create_post_0070,unit,pass,2024-12-01,09:23:20,09:24:46
run_0001_20241201,test_security_form_validation_0071,security,skip,2024-12-01,09:23:22,09:27:31
run_0001_20241201,test_performance_user_permissions_0072,performance,pass,2024-12-01,09:23:24,09:28:17
run_0001_20241201,test_performance_checkbox_toggle_0073,performance,skip,2024-12-01,09:23:26,09:28:29
run_0001_20241201,test_e2e_mobile_compatibility_0074,e2e,pass,2024-12-01,09:23:28,09:23:58
run_0001_20241201,test_smoke_button_click_event_0075,smoke,pass,2024-12-01,09:23:30,09:27:25
run_0001_20241201,test_integration_navigation_menu_0076,integration,skip,2024-12-01,09:23:32,09:24:14
run_0001_20241201,test_auth_memory_leak_check_0077,auth,skip,2024-12-01,09:23:34,09:26:34
run_0001_20241201,test_api_recommendation_engine_0078,api,pass,2024-12-01,09:23:36,09:25:34
run_0001_20241201,test_performance_push_notification_0079,performance,pass,2024-12-01,09:23:38,09:25:24
run_0001_20241201,test_performance_invoice_generation_0080,performance,pass,2024-12-01,09:23:40,09:28:24
run_0001_20241201,test_smoke_currency_conversion_0081,smoke,pass,2024-12-01,09:23:42,09:27:18
run_0001_20241201,test_api_modal_display_0082,api,pass,2024-12-01,09:23:44,09:25:20
run_0001_20241201,test_auth_refund_process_0083,auth,pass,2024-12-01,09:23:46,09:24:11
run_0001_20241201,test_performance_memory_leak_check_0084,performance,skip,2024-12-01,09:23:48,09:26:18
run_0001_20241201,test_security_query_optimization_0085,security,pass,2024-12-01,09:23:50,09:28:54
run_0001_20241201,test_auth_delete_post_0086,auth,pass,2024-12-01,09:23:52,09:24:51
run_0001_20241201,test_smoke_browser_compatibility_0087,smoke,pass,2024-12-01,09:23:54,09:27:23
run_0001_20241201,test_api_email_notification_0088,api,pass,2024-12-01,09:23:56,09:28:10
run_0001_20241201,test_security_timezone_handling_0089,security,pass,2024-12-01,09:23:58,09:26:24
run_0001_20241201,test_ui_pagination_works_0090,ui,pass,2024-12-01,09:24:00,09:25:55
run_0001_20241201,test_e2e_cpu_usage_monitor_0091,e2e,pass,2024-12-01,09:24:02,09:28:00
run_0001_20241201,test_database_timezone_handling_0092,database,pass,2024-12-01,09:24:04,09:26:29
run_0001_20241201,test_auth_social_login_facebook_0093,auth,pass,2024-12-01,09:24:06,09:28:57
run_0001_20241201,test_performance_invoice_generation_0094,performance,pass,2024-12-01,09:24:08,09:28:47
run_0001_20241201,test_security_get_user_profile_0095,security,pass,2024-12-01,09:24:10,09:27:21
run_0001_20241201,test_database_social_login_google_0096,database,pass,2024-12-01,09:24:12,09:29:11
run_0001_20241201,test_security_cookie_handling_0097,security,pass,2024-12-01,09:24:14,09:29:03
run_0001_20241201,test_integration_cookie_handling_0098,integration,pass,2024-12-01,09:24:16,09:24:48
run_0001_20241201,test_ui_cart_checkout_0099,ui,skip,2024-12-01,09:24:18,09:27:16
run_0001_20241201,test_smoke_order_confirmation_0100,smoke,pass,2024-12-01,09:24:20,09:25:37
run_0001_20241201,test_smoke_radio_button_select_0101,smoke,pass,2024-12-01,09:24:22,09:26:41
run_0001_20241201,test_unit_cors_policy_0102,unit,pass,2024-12-01,09:24:24,09:27:43
run_0001_20241201,test_api_error_message_show_0103,api,pass,2024-12-01,09:24:26,09:25:19
run_0001_20241201,test_integration_role_management_0104,integration,pass,2024-12-01,09:24:28,09:25:10
run_0001_20241201,test_performance_encryption_at_rest_0105,performance,pass,2024-12-01,09:24:30,09:26:09
run_0001_20241201,test_api_refund_process_0106,api,fail,2024-12-01,09:24:32,09:29:36
run_0001_20241201,test_api_load_test_1000_users_0107,api,pass,2024-12-01,09:24:34,09:26:00
run_0001_20241201,test_api_get_user_profile_0108,api,pass,2024-12-01,09:24:36,09:27:32
run_0001_20241201,test_api_distance_calculation_0109,api,pass,2024-12-01,09:24:38,09:28:16
run_0001_20241201,test_e2e_stress_test_peak_load_0110,e2e,pass,2024-12-01,09:24:40,09:25:02
run_0001_20241201,test_api_password_reset_flow_0111,api,pass,2024-12-01,09:24:42,09:25:02
run_0001_20241201,test_ui_excel_import_0112,ui,pass,2024-12-01,09:24:44,09:27:21
run_0001_20241201,test_ui_list_posts_0113,ui,pass,2024-12-01,09:24:46,09:25:00
run_0001_20241201,test_api_index_performance_0114,api,pass,2024-12-01,09:24:48,09:26:45
run_0001_20241201,test_unit_login_with_valid_credentials_0115,unit,pass,2024-12-01,09:24:50,09:29:09
